SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
v4_prevmeds,visit_4,MEDICATIONS,radio,29. Has subject been given any medications,"1, Yes | 0, No",,,,,,,,,,,,
v4_prevmed1,visit_4,,text,30. Medication 1,,,,,,,,,,,,,
v4_med1startdate,visit_4,,text,31. Start date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ongoingmed1,visit_4,,radio,32. Specify if ongoing with Medication 1 intake,"1, Yes | 0, No",,,,,,,,,,,,
v4_med1enddate,visit_4,,text,33. End date of Medication 1 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_prevmed2,visit_4,,text,34. Medication 2,,,,,,,,,,,,,
v4_med2startdate,visit_4,,text,35. Start date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ongoingmed2,visit_4,,radio,36. Specify if ongoing with Medication 2 intake,"1, Yes | 0, No",,,,,,,,,,,,
v4_med2enddate,visit_4,,text,37. End date of Medication 2 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_prevmed3,visit_4,,text,38. Medication 3,,,,,,,,,,,,,
v4_med3startdate,visit_4,,text,39. Start date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ongoingmed3,visit_4,,radio,40. Specify if ongoing with Medication 3 intake,"1, Yes | 0, No",,,,,,,,,,,,
v4_med3enddate,visit_4,,text,41. End date of Medication 3 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_prevmed4,visit_4,,text,42. Medication 4,,,,,,,,,,,,,
v4_med4startdate,visit_4,,text,43. Start date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_ongoingmed4,visit_4,,radio,44. Specify if ongoing with Medication 4 intake,"1, Yes | 0, No",,,,,,,,,,,,
v4_med4enddate,visit_4,,text,45. End date of Medication 4 administration,,Date (DD/MM/YYYY),date_dmy,,,,,,,,,,
v4_breastfed,visit_4,,radio,46. Is the infant breast feeding,"1, Yes | 0, No",,,,,,,,,,,,
v4_feedingdetails,visit_4,,notes,47. Please provide details,,,,,,,,,,,,,
v4_inclusionmet,visit_4,INCLUSION CRITERIA,radio,48. Does subject meet inclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
v4_inclusionnotmet,visit_4,,text,49.Number of inclusion criterion (criteria) not met,,"If multiple criteria met, enter all numbers and separate with comma(s)",,,,,,,,,,,
v4_inclusiondetails,visit_4,,notes,50. Details for inclusion criterion (criteria) not met,,,,,,,,,,,,,
v4_exclusionprevvac,visit_4,EXCLUSION CRITERIA,radio,51. Previous vaccination with any EPI vaccine other than those administered by the study team,"1, Yes | 0, No",,,,,,,,,,,,
v4_excrimet,visit_4,,radio,52. Does subject meet the exclusion criteria?,"1, Yes | 0, No",,,,,,,,,,,,
v4_excrinum,visit_4,,text,53. Number of exclusion criterion (criteria) met,,"(If multiple criteria met, enter all number and separate with a comma(s))",number,,,,,,,,,,
v4_detailsrexcri,visit_4,,notes,54. Details of exclusion criterion/criteria met,,,,,,,,,,,,,
v4_nursename2,visit_4,,text,55. Name of physician or nurse,,,,,,,,,,,,,
v4_sign2,visit_4,,text,56. Signature,,,,,,,,,,,,,
v4_date2,visit_4,,text,57. Date,,,date_dmy,,,,,,,,,,
v4_bloodsam,visit_4,BLOOD SAMPLE COLLECTION,radio,58. Blood Sample Collected?,"1, Yes | 0, No",,,,,,,y,,,,,
v4_volsample,visit_4,,text,59. Volume of sample,,enter value to one decimal place. e.g. 00.0,number_1dp,,,,,,,,,,
v4_timecol,visit_4,,text,60. Time of collection,,,time,,,,,,,,,,
v4_visit_id,visit_4,,text,61. Visit ID,,please confirm Visit ID is accurate,,,,,,y,,,,,
v4_rectalswabtaken,visit_4,RECTAL SWAB,radio,62. Rectal Swab taken,"1, Yes | 0, No",,,,,,,,,,,,
v4_swabtime,visit_4,,text,63. Time swab taken,,,datetime_dmy,,,,[q72_rectalswabtaken_visit2] = '1',,,,,,
v4_notes2,visit_4,,notes,64. Notes,,,,,,,,,,,,,
v4_activities,visit_4,VISIT ACTIVITIES COMPLETED,radio,65. Have all Visit 4 activities been completed,"1, Yes | 0, No",,,,,,,,,,,,
v4_activities_no,visit_4,,notes,"66. If no, specify",,,,,,,,,,,,,
v4_nursename3,visit_4,,text,67. Name of physician or nurse,,,,,,,,,,,,,
v4_sign3,visit_4,,text,68. Signature,,,,,,,,,,,,,
v4_visitcompletedate,visit_4,,text,69. Date form completed,,,date_dmy,,,,,,,,,,
ancnum_unscheduled,unscheduled_visit,,text,ANC Number,,,,,,,,,,,,,
subjnum_unscheduled,unscheduled_visit,,text,Subject Number (Study ID),,,,,,,,,,,,,
q1_dov_unscheduled,unscheduled_visit,,text,1. Date of visit,,,date_dmy,,,,,,,,,,
q2_weight_unscheduled,unscheduled_visit,,text,2. Weight (grams),,,integer,2500,9000,,,,,,,,
q3_length_unscheduled,unscheduled_visit,,text,3. Length (cm),,,number,45,70,,,,,,,,
q4_temp_unscheduled,unscheduled_visit,,text,4. Temperature (Celsius),,,number_1dp,36.5,55,,,,,,,,
q5_resprate_unscheduled,unscheduled_visit,,text,5. Respiratory rate (cycles/min),,,number,30,55,,,,,,,,
q6_hr_unscheduled,unscheduled_visit,,text,6. Heart rate (beats/min),,,number,90,150,,,,,,,,
q7_comment_unscheduled,unscheduled_visit,,notes,7. Comments,,,,,,,,,,,,,
q8_nursename1_unscheduled,unscheduled_visit,,text,8. Nurse or physician's name,,,,,,,,,,,,,
q9_nursesign1_unscheduled,unscheduled_visit,,text,9. Signature,,,,,,,,,,,,,
q10_date1_unscheduled,unscheduled_visit,,text,10. Date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q11_medhist_unscheduled,unscheduled_visit,PHYSICIAN EVALUATION,notes,11. Interim Medical History since last visit,,,,,,,,,,,,,
q12_general_unscheduled,unscheduled_visit,PHYSICAL ASSESSMENT,radio,12. General,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q13_gencom_unscheduled,unscheduled_visit,,notes,13. General comments,,,,,,,,,,,,,
q14_lymph_unscheduled,unscheduled_visit,,radio,14. Lymph Nodes,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q14_lympcom_unscheduled,unscheduled_visit,,notes,15. Lymph Nodes comments,,,,,,,,,,,,,
q16_extrem_unscheduled,unscheduled_visit,,radio,16. Extremities,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q17_excom_unscheduled,unscheduled_visit,,notes,17. Extremities comment,,,,,,,,,,,,,
q18_skin_unscheduled,unscheduled_visit,,radio,18. Skin,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q19_skincom_unscheduled,unscheduled_visit,,notes,19. Skin comments,,,,,,,,,,,,,
q20_cns_unscheduled,unscheduled_visit,,radio,20. Central Nervous System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q21_cnscom_unscheduled,unscheduled_visit,,notes,21. Central Nervous System comment,,,,,,,,,,,,,
q22_cardio_unscheduled,unscheduled_visit,,radio,22. Cardiovascular System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q23_cardiocom_unscheduled,unscheduled_visit,,notes,23. Cardiovascular System comment,,,,,,,,,,,,,
q24_resp_unscheduled,unscheduled_visit,,radio,24. Respiratory System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q25_respcom_unscheduled,unscheduled_visit,,notes,25. Respiratory System comment,,,,,,,,,,,,,
q26_abdo_unscheduled,unscheduled_visit,,radio,26. Abdomen,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q27_abdocom_unscheduled,unscheduled_visit,,notes,27. Abdomen comment,,,,,,,,,,,,,
q28_urogen_unscheduled,unscheduled_visit,,radio,28. Urogenital,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q29_urogencom_unscheduled,unscheduled_visit,,notes,29. Urogenital comment,,,,,,,,,,,,,
q30_other_unscheduled,unscheduled_visit,,radio,30. Other physical findings,"1, Yes | 0, No",,,,,,,,,,,,
q31_otherspec_unscheduled,unscheduled_visit,,notes,31. Specify other physical findings,,,,,,,,,,,,,
q32_labs_unscheduled,unscheduled_visit,,radio,32. Have any laboratory tests been done?,"1, Yes | 0, No",,,,,,,,,,,,
q33_labsdone_unscheduled,unscheduled_visit,,notes,33. Specify lab tests done,,,,,,,,,,,,,
q34_assessment_unscheduled,unscheduled_visit,DIAGNOSIS,notes,34. Assessment and diagnosis,,,,,,,,,,,,,
q35_meds_unscheduled,unscheduled_visit,,radio,35. Has subject been taking any medications since last visit?,"1, Yes | 0, No",,,,,,,,,,,,
q36_medstaken_unscheduled,unscheduled_visit,,notes,"36. If yes, list medications and update concomitant medications log",,,,,,,,,,,,,
q37_newmeds_unscheduled,unscheduled_visit,,radio,37. Has/have medication(s) been prescribed this visit?,"1, Yes | 0, No",,,,,,,,,,,,
q38_medspresc_unscheduled,unscheduled_visit,,notes,"38. If yes, list medications and update concomitant medications log.",,,,,,,,,,,,,
q39_nursename2_unscheduled,unscheduled_visit,,text,39. Nurse or physician's name,,,,,,,,,,,,,
q40_nursesign2_unscheduled,unscheduled_visit,,text,40. Signature,,,,,,,,,,,,,
q41_date_unscheduled,unscheduled_visit,,text,41. Date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
anc_conmed,concomitant_medication_form,,text,ANC Number,,,,,,,,,,,,,
subjnum_conmed,concomitant_medication_form,,text,Subject Number (Study ID),,,,,,,,,,,,,
q1_unreported_conmed,concomitant_medication_form,,radio,1. Are there any medications on the health card or reported by the mother which have not been entered to the CRF?,"1, Yes | 0, No",,,,,,,,,,,,
q2_drug1_conmed,concomitant_medication_form,,text,2. Drug 1 Name (please use generic name),,,,,,,,,,,,,
q3_drug1ind_conmed,concomitant_medication_form,,text,3. Drug 1 indication,,,,,,,,,,,,,
q4_drug1start_conmed,concomitant_medication_form,,text,4. Drug 1 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q5_drug1end_conmed,concomitant_medication_form,,text,5. Drug 1 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q6_drug2_conmed,concomitant_medication_form,,text,6. Drug 2 Name (please use generic name),,,,,,,,,,,,,
q7_drug2ind_conmed,concomitant_medication_form,,text,7. Drug 2 indication,,,,,,,,,,,,,
q8_drug2start_conmed,concomitant_medication_form,,text,8. Drug 2 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q9_drug2end_conmed,concomitant_medication_form,,text,9. Drug 2 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q10_drug3_conmed,concomitant_medication_form,,text,10. Drug 3 name (please use generic name),,,,,,,,,,,,,
q11_drug3ind_conmed,concomitant_medication_form,,text,11. Drug 3 indication,,,,,,,,,,,,,
q12_drug3start_conmed,concomitant_medication_form,,text,12. Drug 3 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q13_drug3end_conmed,concomitant_medication_form,,text,13. Drug 3 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q14_drug4_conmed,concomitant_medication_form,,text,14. Drug 4 (please use generic name),,,,,,,,,,,,,
q15_drug4ind_conmed,concomitant_medication_form,,text,15. Drug 4 indication,,,,,,,,,,,,,
q16_drug4start_conmed,concomitant_medication_form,,text,16. Drug 4 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q17_drug4end_conmed,concomitant_medication_form,,text,17. Drug 4 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q18_nursename1_conmed,concomitant_medication_form,,text,18. Nurse or physician's name,,,,,,,,,,,,,
q19_nursesign1_conmed,concomitant_medication_form,,text,19. Signature,,,,,,,,,,,,,
q20_date_conmed,concomitant_medication_form,,text,20. Date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q21_notes_conmed,concomitant_medication_form,,notes,21. Notes,,,,,,,,,,,,,
hospname_hosp,hospitalization_record,,text,Hospital Name,,,,,,,,,,,,,
q1_anc_hosp,hospitalization_record,,text,1. ANC number,,,,,,,,,,,,,
q2_subjnum_hosp,hospitalization_record,,text,2. Subject Number (Study ID),,,,,,,,,,,,,
q3_hospdate_hosp,hospitalization_record,,text,3. Date of hospitalization,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q4_reasonhosp_hosp,hospitalization_record,,notes,4. Reason for hospitalization,,,,,,,,,,,,,
q5_genappear_hosp,hospitalization_record,PHYSICAL EXAMINATION,radio,5. General appearance,"1, Normal | 2, Abnormal",,,,,,,,,,,,
q6_com_hosp,hospitalization_record,,notes,6. Comment,,,,,,,,,,,,,
q7_admittemp_hosp,hospitalization_record,,text,7. Admitting temperature (Celsius),,Please enter value to 1 decimal point- e.g. 00.0),number_1dp,,,,,,,,,,
q8_urogen_hosp,hospitalization_record,,radio,8. Urogenital/ Genitalia,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q9_urogencom_hosp,hospitalization_record,,notes,9. Urogenital/ Genitalia comment,,,,,,,,,,,,,
q10_musculo_hosp,hospitalization_record,,radio,10. Musculoskeletal,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q11_musculocom_hosp,hospitalization_record,,notes,11. Musculoskeletal comment,,,,,,,,,,,,,
q12_skin_hosp,hospitalization_record,,radio,12. Skin,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q13_skincom_hosp,hospitalization_record,,notes,13. Skin comment,,,,,,,,,,,,,
q14_cns_hosp,hospitalization_record,,radio,14. Central Nervous System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q15_cnscom_hosp,hospitalization_record,,notes,15. Central Nervous System comment,,,,,,,,,,,,,
q16_cardio_hosp,hospitalization_record,,radio,16. Cardiovascular System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q17_o2_hosp,hospitalization_record,,text,17. O2 sat (%),,,integer,1,100,,,,,,,,
q18_cardiocom_hosp,hospitalization_record,,notes,18. Cardiovascular System comment,,,,,,,,,,,,,
q19_resp_hosp,hospitalization_record,,radio,19. Respiratory System,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q20_respcom_hosp,hospitalization_record,,notes,20. Respiratory System comment,,,,,,,,,,,,,
q21_abdo_hosp,hospitalization_record,,radio,21. Abdomen,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q22_abdocom_hosp,hospitalization_record,,notes,22. Abdomen comment,,,,,,,,,,,,,
q23_spine_hosp,hospitalization_record,,radio,23. Spine,"1, Normal | 2, Abnormal | 0, Not Done",,,,,,,,,,,,
q24_spinecom_hosp,hospitalization_record,,notes,24. Spine comment,,,,,,,,,,,,,
q25_otherfindings_hosp,hospitalization_record,,radio,25. Other physical findings,"1, Yes | 0, No",,,,,,,,,,,,
q26_otherspecify_hosp,hospitalization_record,,notes,"26. Other, specify",,,,,,,,,,,,,
q27_admittingdiag_hosprec,hospitalization_record,,checkbox,27. Admitting diagnosis,"q27_admittingdiag_hosprec__1, Infection neonatal | q27_admittingdiag_hosprec__2, Neonatal skin infection | q27_admittingdiag_hosprec__3, Neonatal infection mastitis | q27_admittingdiag_hosprec__4, Other infections specific to newborn period | q27_admittingdiag_hosprec__5, Tetanus neonatorum | q27_admittingdiag_hosprec__6, Umbilical sepsis | q27_admittingdiag_hosprec__7, ABO haemolytic disease of newborn | q27_admittingdiag_hosprec__8, Rh haemolytic disease of newborn | q27_admittingdiag_hosprec__9, Bacterial lower respiratory tract infection | q27_admittingdiag_hosprec__10, Malaria | q27_admittingdiag_hosprec__11, Urinary tract infection | q27_admittingdiag_hosprec__12, Sepsis | q27_admittingdiag_hosprec__13, Diarrhoeal infection | q27_admittingdiag_hosprec__14, Failure to thrive | q27_admittingdiag_hosprec__15, Anaphylactic reaction to vaccine | q27_admittingdiag_hosprec__16, Vaccine site reaction | q27_admittingdiag_hosprec__17, Meningitis | q27_admittingdiag_hosprec__18, Convulsion febrile | q27_admittingdiag_hosprec__19, Other",,,,,,,,,,,,
q28_neoinfspecify_hosp,hospitalization_record,,radio,"28. Infection neonatal, specify","1, Early onset neonatal sepsis | 2, Late onset neonatal sepsis | 3, Neonatal jaundice present",,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__1)] = '1',,,,,,
q29_lowrespspecify_hosp,hospitalization_record,,radio,29. Bacterial lower respiratory tract infection,"1, Bronchopneumonia | 2, Lobar pneumonia",,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__9)] = '1',,,,,,
q30_malariaspec_hosp,hospitalization_record,,notes,"30. Malaria, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__10)] = '1',,,,,,
q31_dehydration_hosp,hospitalization_record,,notes,"31. Diarrhoeal infection, specify dehydration",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__13)] = '1',,,,,,
q32_ftt_hosp,hospitalization_record,,notes,"32. Failure to thrive, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__14)] = '1',,,,,,
q33_anaphylaxis_hosp,hospitalization_record,,notes,"33. Anaphylactic reaction to vaccine, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__15)] = '1',,,,,,
q34_vacsitereac_hosp,hospitalization_record,,notes,"34. Vaccine site reaction, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__16)] = '1',,,,,,
q35_meningitis_hosp,hospitalization_record,,notes,"35. Meningitis, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__17)] = '1',,,,,,
q36_febrileconvulsion_hosp,hospitalization_record,,notes,"36. Convulsion febrile, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__18)] = '1',,,,,,
q37_otherspecify_hosp,hospitalization_record,,notes,"37. Other, specify",,,,,,,[q27_admittingdiag_hosprec(q27_admittingdiag_hosprec__19)] = '1',,,,,,
q38_final_diagnosis_hosp,hospitalization_record,,checkbox,38. Final diagnosis,"q38_final_diagnosis__1, Infection neonatal | q38_final_diagnosis__2, Neonatal skin infection | q38_final_diagnosis__3, Neonatal infective mastitis | q38_final_diagnosis__4, Other infections specific to newborn period | q38_final_diagnosis__5, Tetanus neonatorum | q38_final_diagnosis__6, Umbilical sepsis | q38_final_diagnosis__7, ABO haemolytic disease of newborn | q38_final_diagnosis__8, Rh haemolytic disease of newborn | q38_final_diagnosis__9, Bacterial lower respiratory tract infection | q38_final_diagnosis__10, Malaria | q38_final_diagnosis__11, Urinary tract infection | q38_final_diagnosis__12, Sepsis | q38_final_diagnosis__13, Diarrhoeal infection | q38_final_diagnosis__14, Failure to thrive | q38_final_diagnosis__15, Anaphylactic reaction to vaccine | q38_final_diagnosis__16, Vaccine site reaction | q38_final_diagnosis__17, Meningitis | q38_final_diagnosis__18, Convulsion febrile | q38_final_diagnosis__19, Other",,,,,,,,,,,,
q39_infectionspecify_hosp,hospitalization_record,,radio,"39. Infection neonatal, specify","1, Early onset neonatal sepsis | 2, Late onset neonatal sepsis | 3, Neonatal jaundice present",,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__1)] = '1',,,,,,
q40_lowerrespspecify_hosp,hospitalization_record,,radio,"40. Bacterial lower respiratory tract infection, specify","1, Bronchopneumonia | 2, Lobar pneumonia",,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__9)] = '1',,,,,,
q41_malariaspecify_hosp,hospitalization_record,,notes,"41. Malaria, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__10)] = '1',,,,,,
q42_diarrhoealspecify_hosp,hospitalization_record,,notes,"42. Diarrhoeal infection, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__13)] = '1',,,,,,
q43_fttspecify_hosp,hospitalization_record,,notes,"43. Failure to thrive, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__14)] = '1',,,,,,
q44_anaphylaxis_hosp,hospitalization_record,,notes,"44. Anaphylactic reaction to vaccine, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__15)] = '1',,,,,,
q45_vaccinesite_hosp,hospitalization_record,,notes,"45. Vaccine site reaction, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__16)] = '1',,,,,,
q46_meningitisspecify_hosp,hospitalization_record,,notes,"46. Meningitis, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__17)] = '1',,,,,,
q47_febrileconvulsion_hosp,hospitalization_record,,notes,"47. Convulsion febrile, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__18)] = '1',,,,,,
q48_otherspecify_hosp,hospitalization_record,,notes,"48. Other, specify",,,,,,,[q38_final_diagnosis_hosp(q38_final_diagnosis__19)] = '1',,,,,,
q49_drug1_hosp,hospitalization_record,MEDICATIONS USED TO TREAT EVENT,text,49. Drug 1 name,,(please use generic name),,,,,,,,,,,
q50_drug1route_hosp,hospitalization_record,,radio,50. Drug 1 route of administration,"a, IV | b, IM | c, Subcutaneous | d, Oral | e, Topical, specify | f, Other, specify",,,,,,,,,,,,
q51_drug1topical_hosp,hospitalization_record,,text,"51. Drug 1 topical administration, specify",,,,,,,[q50_drug1route_hosp] = 'e',,,,,,
q52_drug1otherroute_hosp,hospitalization_record,,text,"52. Drug 1 other administration route, specify",,,,,,,[q50_drug1route_hosp] = 'f',,,,,,
q53_drug1start_hosp,hospitalization_record,,text,53. Drug 1 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q54_drug1end_hosp,hospitalization_record,,text,54. Drug 1 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q55_drug2_hosp,hospitalization_record,,text,55. Drug 2 name,,(please use generic name),,,,,,,,,,,
q56_drug2route_hosp,hospitalization_record,,radio,56. Drug 2 route of administration,"a, IV | b, IM | c, Subcutaneous | d, Oral | e, Topical, specify | f, Other, specify",,,,,,,,,,,,
q57_drug2topical_hosp,hospitalization_record,,text,"57. Drug 2 topical administration, specify",,,,,,,[q56_drug2route_hosp] = 'e',,,,,,
q58_drug2otherroute_hosp,hospitalization_record,,text,"58. Drug 2 other administration route, specify",,,,,,,[q56_drug2route_hosp] = 'f',,,,,,
q59_drug2start_hosp,hospitalization_record,,text,59. Drug 2 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q60_drug2end_hosp,hospitalization_record,,text,60. Drug 2 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q61_drug3_hosp,hospitalization_record,,text,61. Drug 3 name,,,,,,,,,,,,,
q62_drug3route_hosp,hospitalization_record,,radio,62. Drug 3 route of administration,"a, IV | b, IM | c, Subcutaneous | d, Oral | e, Topical, specify | f, Other, specify",,,,,,,,,,,,
q63_drug3topical_hosp,hospitalization_record,,notes,"63. Drug 3 topical administration, specify",,,,,,,[q62_drug3route_hosp] = 'e',,,,,,
q64_drug3otherroute_hosp,hospitalization_record,,notes,"64. Drug 3 other administration route, specify",,,,,,,[q62_drug3route_hosp] = 'f',,,,,,
q65_drug3start_hosp,hospitalization_record,,text,65. Drug 3 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q66_drug3end_hosp,hospitalization_record,,text,66. Drug 3 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q67_drug4_hosp,hospitalization_record,,text,67. Drug 4 name,,,,,,,,,,,,,
q68_drug4route_hosp,hospitalization_record,,radio,68. Drug 4 route of administration,"a, IV | b, IM | c, Subcutaneous | d, Oral | e, Topical, specify | f, Other, specify",,,,,,,,,,,,
q69_drug4topical_hosp,hospitalization_record,,notes,"69. Drug 4 topical administration, specify",,,,,,,[q68_drug4route_hosp] = 'e',,,,,,
q70_drug4otherroute_hosp,hospitalization_record,,notes,"70. Drug 4 other administration route, specify",,,,,,,[q68_drug4route_hosp] = 'f',,,,,,
q71_drug4start_hosp,hospitalization_record,,text,71. Drug 4 start date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q72_drug4end_hosp,hospitalization_record,,text,72. Drug 4 end date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q73_bloodcount_hosp,hospitalization_record,INVESTIGATIONS,radio,73. Full blood count,"1, Yes | 0, No",,,,,,,,,,,,
q74_hbconc_hosp,hospitalization_record,,text,74. Hb concentration g/dl,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q75_wbc_hosp,hospitalization_record,,text,75. WBC x 10^9/L,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q76_neutrophils_hosp,hospitalization_record,,text,76. Neutrophils x 10^9/L,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q77_lympho_hosp,hospitalization_record,,text,77. Lymphocytes x 10^9/L,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q78_monocyte_hosp,hospitalization_record,,text,78. Monocytes x 10^9/L,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q79_platelet_hosp,hospitalization_record,,text,79. Platelet count x 10^9/L,,,number,,,,[q73_bloodcount_hosp] = '1',,,,,,
q80_bloodculture_hosp,hospitalization_record,,radio,80. Blood culture,"1, Yes | 0, No",,,,,,,,,,,,
q81_bloodfindings_hosp,hospitalization_record,,radio,"81. If yes, specify findings","a, No growth | b, Growth",,,,,,[q80_bloodculture_hosp] = '1',,,,,,
q82_bloodgrowth_hosp,hospitalization_record,,notes,"82. Growth, specify organism",,,,,,,[q81_bloodfindings_hosp] = 'b',,,,,,
q83_urine_hosp,hospitalization_record,,radio,83. Urine culture,"1, Yes | 0, No",,,,,,,,,,,,
q84_urinefindings_hosp,hospitalization_record,,radio,"84. If yes, specify urine culture findings","a, No growth | b, Growth",,,,,,[q83_urine_hosp] = '1',,,,,,
q85_urinegrowthspec_hosp,hospitalization_record,,notes,"85. Urine culture growth, specify organism",,,,,,,[q84_urinefindings_hosp] = 'b',,,,,,
q86_xray_hosp,hospitalization_record,,radio,86. X-ray,"1, Yes | 0, No",,,,,,,,,,,,
q87_xrayfindings_hosp,hospitalization_record,,radio,"87. If yes, x-ray findings","1, Normal | 2, Abnormal",,,,,,[q86_xray_hosp] = '1',,,,,,
q88_xrayspecify_hosp,hospitalization_record,,notes,88. Specify abnormal x-ray findings,,,,,,,[q87_xrayfindings_hosp] = '2',,,,,,
q89_csf_hosp,hospitalization_record,,radio,89. CSF,"1, Yes | 0, No | 2, Unsuccessful",,,,,,,,,,,,
q90_csfcolour_hosp,hospitalization_record,,radio,90. CSF colour,"a, Turbid | b, Straw coloured | c, Clear | d, Xanthrochromic | e, Traumatic | f, Other",,,,,,[q89_csf_hosp] = '1',,,,,,
q91_othercolour_hosp,hospitalization_record,,text,"91. If other, specify",,,,,,,[q90_csfcolour_hosp] = 'f',,,,,,
q92_csfwbc_hosp,hospitalization_record,,text,92. CSF WBC count (cells/µL x 10^6),,,integer,0,999,,[q89_csf_hosp] = '1',,,,,,
q93_csfrbc_hosp,hospitalization_record,,text,93. CSF RBC (cells x 10^6),,,integer,0,999,,[q89_csf_hosp] = '1',,,,,,
q94_glucose_hosp,hospitalization_record,,text,94. Glucose (mmol/L),,,number,,,,[q89_csf_hosp] = '1',,,,,,
